LastName|FirstName|Gender|FavoriteColor|DateOfBirth
Rodriguez|Carlos|Male|Khaki|6/3/1993
Cruz|Daniel|Male|Blue|3/21/1970
Gray|Kathryn|Female|Red|10/16/1965
Cunningham|Antonio|Male|Blue|12/23/1962
Vasquez|Louis|Male|Orange|4/21/1997
Gonzales|Christine|Female|Aquamarine|12/24/1998
Hansen|Annie|Female|Purple|9/21/1949
Morris|Louise|Female|Mauv|10/14/1967
Hanson|Bobby|Male|Violet|12/11/1990
Peterson|Amy|Female|Orange|9/17/1991
Perry|Jane|Female|Crimson|2/16/1997
Hudson|Antonio|Male|Turquoise|12/21/1969
Simpson|Kelly|Female|Khaki|3/15/1996
Anderson|Jeremy|Male|Puce|1/22/1981
Gonzalez|Jeffrey|Male|Red|3/17/1987
Fields|Sarah|Female|Blue|1/15/1960
Black|Mary|Female|Goldenrod|10/21/1977
Ortiz|Brian|Male|Orange|11/18/1997
Hanson|Clarence|Male|Green|5/17/1961
Allen|Heather|Female|Pink|10/20/1992
Payne|Laura|Female|Puce|1/27/1990
Rogers|Catherine|Female|Khaki|1/17/1986
Bailey|Peter|Male|Crimson|3/18/1961
Kennedy|Adam|Male|Blue|8/10/1969
Morales|Andrew|Male|Maroon|2/24/2003
Coleman|Aaron|Male|Red|10/25/1948
Nguyen|Wayne|Male|Red|6/24/2000
Dean|Susan|Female|Aquamarine|9/9/1960
Washington|Harold|Male|Pink|6/7/1996
Wagner|Charles|Male|Puce|11/27/1990
Mason|Nicholas|Male|Green|8/26/1956
Fernandez|Jesse|Male|Aquamarine|7/3/1978
Reynolds|Diane|Female|Goldenrod|11/19/1974
Matthews|Mark|Male|Pink|8/17/1971
Davis|Mildred|Female|Puce|10/20/1955
Miller|Donna|Female|Turquoise|5/18/1982
Fernandez|Clarence|Male|Red|1/24/2002
Snyder|Anne|Female|Aquamarine|1/31/1988
Ramirez|Billy|Male|Pink|8/22/1958
Griffin|Lisa|Female|Red|11/29/2002
Kim|Shirley|Female|Turquoise|6/24/1959
Russell|Robin|Female|Puce|11/27/1956
Hicks|Jacqueline|Female|Yellow|6/25/1970
Medina|Raymond|Male|Violet|12/31/1976
Payne|Fred|Male|Red|10/28/1955
Jordan|Jacqueline|Female|Khaki|1/22/1977
Sims|Henry|Male|Mauv|4/10/1972
Parker|Anthony|Male|Orange|11/6/1981
Burton|Juan|Male|Red|6/13/1958
Knight|Nicole|Female|Khaki|7/4/1983
Knight|Douglas|Male|Red|9/11/1967
Barnes|Irene|Female|Red|9/12/1982
Flores|Ryan|Male|Indigo|8/26/2003
Thomas|Patrick|Male|Green|5/15/1985
Jacobs|Todd|Male|Orange|2/17/1972
Jacobs|Debra|Female|Blue|8/27/1981
Hunter|Ronald|Male|Red|10/26/1959
Hamilton|Chris|Male|Goldenrod|9/28/1946
Freeman|Ernest|Male|Violet|1/23/1996
Hunt|Jeffrey|Male|Teal|8/10/1966
Hughes|Louise|Female|Mauv|7/14/1999
Bishop|Ann|Female|Khaki|11/28/1948
Bowman|Heather|Female|Red|10/14/1982
Sims|Catherine|Female|Aquamarine|2/21/1953
Hayes|Charles|Male|Orange|9/27/1962
Rodriguez|Judith|Female|Turquoise|12/2/1970
Palmer|Michael|Male|Aquamarine|9/6/1981
Cox|Jennifer|Female|Goldenrod|6/8/1984
Bishop|Randy|Male|Khaki|9/20/1994
Harrison|Andrew|Male|Green|8/14/1968
Clark|Lawrence|Male|Orange|3/31/2003
Jacobs|Kelly|Female|Yellow|12/29/1947
Nelson|Joshua|Male|Orange|5/7/1974
Lawson|Christopher|Male|Mauv|10/14/1972
Gibson|Aaron|Male|Green|6/14/1992
Diaz|Jimmy|Male|Turquoise|10/10/1982
Parker|Cheryl|Female|Blue|1/13/1953
Coleman|Douglas|Male|Green|3/10/1988
Freeman|Marie|Female|Mauv|10/28/1962
Fernandez|Henry|Male|Pink|11/21/1968
West|Billy|Male|Teal|1/13/2001
Chavez|Chris|Male|Yellow|11/9/1973
Stevens|Jeremy|Male|Goldenrod|2/27/1951
Arnold|Ralph|Male|Puce|1/17/1984
Allen|Earl|Male|Turquoise|10/5/1976
Wheeler|Kimberly|Female|Goldenrod|5/11/2003
Armstrong|Joe|Male|Violet|2/12/1984
Reyes|Christopher|Male|Pink|10/3/1952
Morris|Pamela|Female|Red|12/17/1988
Ward|Roger|Male|Khaki|9/10/1995
Anderson|Shirley|Female|Pink|7/8/1960
Tucker|Sharon|Female|Khaki|11/15/1974
Perry|Kenneth|Male|Khaki|9/12/1953
Hamilton|David|Male|Red|7/31/1963
Watkins|Edward|Male|Yellow|6/24/1953
Schmidt|Nicholas|Male|Green|3/18/1985
Wood|Fred|Male|Pink|3/27/1956
Weaver|Daniel|Male|Aquamarine|7/12/1970
Ryan|Roger|Male|Khaki|10/28/1977
Green|Nancy|Female|Green|8/13/1978
Morrison|Kevin|Male|Red|9/8/1989
Kennedy|Virginia|Female|Violet|10/25/1979
Allen|Samuel|Male|Indigo|5/3/1994
Montgomery|Ashley|Female|Green|5/27/1958
Lewis|Ryan|Male|Purple|6/9/1992
Welch|Daniel|Male|Orange|8/19/1974
Stevens|Juan|Male|Violet|5/24/1958
Hall|Ronald|Male|Crimson|9/30/1964
Myers|Pamela|Female|Blue|7/13/1977
Kelley|Tina|Female|Yellow|1/17/1979
Diaz|Anna|Female|Orange|5/1/1946
Elliott|Teresa|Female|Khaki|1/10/1997
Kelley|Frances|Female|Violet|3/15/1996
Bryant|Bonnie|Female|Indigo|10/22/1961
White|Anthony|Male|Blue|9/20/1952
Mendoza|Helen|Female|Violet|4/29/1960
Mcdonald|John|Male|Teal|7/22/1966
Weaver|Marilyn|Female|Mauv|9/7/1951
Alvarez|Maria|Female|Aquamarine|12/30/1965
Alvarez|Joshua|Male|Yellow|11/12/1963
Martinez|Stephanie|Female|Pink|11/25/1980
Williams|Martha|Female|Mauv|2/26/1957
Bell|Stephanie|Female|Turquoise|1/7/1959
Murphy|Susan|Female|Teal|5/9/1989
Berry|Catherine|Female|Goldenrod|6/25/1979
Wheeler|Helen|Female|Fuscia|7/8/1961
Carter|Russell|Male|Yellow|11/1/1977
Johnston|Evelyn|Female|Indigo|8/22/1990
Lopez|Jacqueline|Female|Blue|8/10/1948
Simmons|Todd|Male|Red|3/25/1949
Edwards|Aaron|Male|Mauv|1/17/1952
Cunningham|Cynthia|Female|Green|4/18/1982
Hanson|Philip|Male|Goldenrod|11/14/1963
Hayes|Louis|Male|Purple|6/10/1956
Gonzales|Donald|Male|Violet|7/11/1960
Perkins|Brandon|Male|Goldenrod|10/26/1987
Welch|Ronald|Male|Teal|12/28/1981
Hughes|Angela|Female|Fuscia|12/3/1988
Ross|Tina|Female|Indigo|5/20/1992
Owens|Shawn|Male|Yellow|5/1/1974
Castillo|Eric|Male|Blue|1/12/2003
Hamilton|Louise|Female|Orange|10/17/1968
Bowman|Joyce|Female|Fuscia|7/7/1965
Gonzalez|Terry|Male|Orange|3/24/1990
Harris|Michelle|Female|Indigo|11/1/1982
Daniels|Timothy|Male|Turquoise|12/21/1997
Wallace|Joshua|Male|Red|4/16/2003
Chavez|Gloria|Female|Mauv|10/20/1958
White|Katherine|Female|Pink|2/21/1998
Little|Carlos|Male|Aquamarine|6/23/2003
Gordon|Wanda|Female|Green|11/15/1979
Sims|Antonio|Male|Khaki|2/24/1953
Cruz|Carlos|Male|Goldenrod|2/26/1953
Jenkins|Philip|Male|Blue|4/25/1951
Rivera|Janice|Female|Fuscia|5/2/1993
Alexander|Susan|Female|Violet|12/18/1969
Roberts|Annie|Female|Blue|3/7/1974
Garrett|Christina|Female|Green|11/8/1961
Johnston|Kathryn|Female|Orange|7/11/1970
Clark|Ann|Female|Green|4/20/1950
Thompson|Arthur|Male|Blue|9/23/1956
Wright|Phillip|Male|Teal|7/6/1957
Baker|Amy|Female|Pink|8/31/1973
Thompson|Mildred|Female|Violet|6/8/1991
Jones|Gerald|Male|Turquoise|1/14/1949
Hansen|Louise|Female|Fuscia|12/1/1996
Hart|Kelly|Female|Indigo|6/6/1983
Spencer|Kelly|Female|Orange|5/1/2001
Berry|Kathy|Female|Indigo|5/9/1976
Nelson|Martin|Male|Maroon|8/19/1954
Hart|Dorothy|Female|Goldenrod|12/4/1958
Green|Julie|Female|Red|10/15/1994
Gutierrez|Lisa|Female|Aquamarine|6/12/1981
Pierce|Donald|Male|Pink|6/17/1991
Hayes|Patricia|Female|Orange|4/26/1975
Hudson|Adam|Male|Goldenrod|2/4/1955
Stevens|Jonathan|Male|Orange|9/6/2002
Williamson|Linda|Female|Violet|7/2/1999
Jordan|Terry|Male|Green|5/30/2003
Stone|Jennifer|Female|Green|3/5/1949
Reynolds|Kevin|Male|Red|3/16/1998
Hansen|Shirley|Female|Mauv|6/30/1996
Kennedy|Lawrence|Male|Goldenrod|11/2/1980
Hanson|Norma|Female|Maroon|7/22/1989
Bennett|James|Male|Red|2/14/1985
Palmer|Jane|Female|Maroon|2/5/1983
Fox|Victor|Male|Orange|10/16/2000
Thomas|Chris|Male|Turquoise|6/1/1980
Greene|Jose|Male|Blue|7/17/1996
Richards|Brenda|Female|Crimson|8/2/1967
Brown|Christina|Female|Crimson|9/18/1953
Garza|Steve|Male|Goldenrod|7/30/1990
Wood|Raymond|Male|Fuscia|8/20/1953
Hayes|Virginia|Female|Aquamarine|11/4/1953
Gonzalez|Kelly|Female|Aquamarine|6/3/1947
Rodriguez|Jessica|Female|Yellow|4/7/1949
Harrison|Jessica|Female|Crimson|6/18/1985
Wheeler|Adam|Male|Indigo|2/3/1992
Graham|Gloria|Female|Orange|4/4/1948
Butler|Louise|Female|Purple|7/2/1994
Morgan|Joe|Male|Pink|8/30/1971
Greene|Christopher|Male|Teal|4/6/1977
Marshall|Clarence|Male|Turquoise|12/12/1966
Bennett|Adam|Male|Pink|5/9/1948
Owens|Ann|Female|Turquoise|11/26/1957
Flores|Walter|Male|Khaki|6/27/1974
Tucker|Joseph|Male|Teal|5/30/1950
Stone|Andrew|Male|Maroon|1/7/1951
Daniels|Antonio|Male|Pink|3/5/1980
Vasquez|Elizabeth|Female|Puce|7/26/1977
Wallace|Angela|Female|Crimson|6/14/1957
Gibson|Linda|Female|Maroon|8/23/1959
Phillips|Jack|Male|Violet|12/27/1977
Scott|Judith|Female|Teal|10/27/1977
Lee|Katherine|Female|Orange|6/7/1968
Bell|Kathryn|Female|Mauv|10/1/1992
Cole|Louis|Male|Aquamarine|8/12/1946
Green|Paul|Male|Maroon|6/7/1981
Snyder|Billy|Male|Green|7/10/1971
Fisher|Andrew|Male|Puce|1/5/1988
Hart|Patrick|Male|Green|12/9/1974
Wagner|Laura|Female|Puce|5/11/1946
Taylor|Richard|Male|Maroon|6/14/1959
Knight|Wanda|Female|Puce|7/8/1977
Hawkins|Carol|Female|Mauv|12/16/1998
Rose|Arthur|Male|Goldenrod|8/29/2000
Scott|Lois|Female|Aquamarine|11/11/1951
Watson|Irene|Female|Violet|10/19/1965
Fuller|Roy|Male|Indigo|2/20/1974
Hunt|Bruce|Male|Violet|3/3/1952
Austin|Rose|Female|Green|1/26/1966
Riley|Sandra|Female|Khaki|4/15/1972
Cooper|Christopher|Male|Green|12/26/1994
Greene|Jimmy|Male|Crimson|12/22/1962
Chavez|Jimmy|Male|Purple|2/4/2000
Warren|Thomas|Male|Violet|6/20/1957
Kelly|Janet|Female|Green|5/31/2000
Russell|Brandon|Male|Crimson|8/15/1974
Reynolds|Martha|Female|Purple|9/14/1997
Gibson|Denise|Female|Goldenrod|11/1/1963
Olson|Margaret|Female|Aquamarine|5/10/1999
Gonzalez|Charles|Male|Aquamarine|4/18/1996
Palmer|James|Male|Yellow|9/15/2000
Diaz|Ernest|Male|Teal|2/2/1955
Anderson|Jane|Female|Red|5/6/1961
Harper|Todd|Male|Goldenrod|9/12/1959
Simmons|Jean|Female|Khaki|2/8/1947
Gomez|Gloria|Female|Red|4/5/1956
Ferguson|Judy|Female|Pink|8/3/1968
Jordan|Louise|Female|Blue|8/26/2002
Robertson|Doris|Female|Khaki|3/4/1953
Fowler|Richard|Male|Goldenrod|12/2/1952
Ford|Carolyn|Female|Green|10/26/1997
Spencer|Rose|Female|Khaki|3/15/2003
Lopez|Brandon|Male|Mauv|7/23/1982
Knight|Stephen|Male|Red|7/30/1998
Armstrong|Edward|Male|Crimson|7/6/1988
Taylor|James|Male|Pink|10/30/1972
Weaver|Kenneth|Male|Khaki|1/2/1962
Cox|Jerry|Male|Khaki|8/24/1994
Harper|Diana|Female|Orange|5/17/1958
Johnston|Ruth|Female|Fuscia|5/6/1964
Mccoy|Beverly|Female|Violet|12/12/1958
Cunningham|Todd|Male|Puce|7/27/1974
Clark|Ruth|Female|Goldenrod|3/17/1975
Griffin|Donna|Female|Khaki|8/28/2000
Hernandez|Rose|Female|Puce|6/19/1975
Phillips|Jesse|Male|Green|2/2/1979
Grant|Phyllis|Female|Pink|11/6/1968
Richards|Lois|Female|Red|5/22/1974
Simmons|Kathy|Female|Purple|8/4/1997
Morales|Joe|Male|Mauv|8/29/1963
Schmidt|Linda|Female|Aquamarine|6/24/1960
Kelley|Diane|Female|Aquamarine|10/3/1972
Turner|Samuel|Male|Mauv|11/15/1986
Lopez|Joshua|Male|Mauv|5/30/1989
Vasquez|Paula|Female|Purple|12/4/1952
Cunningham|Keith|Male|Mauv|7/19/1963
Lynch|Phyllis|Female|Turquoise|9/7/1984
Williams|Amy|Female|Goldenrod|4/3/1969
Martinez|Paula|Female|Purple|1/24/1970
Kelley|Julie|Female|Maroon|2/24/1957
Ortiz|Louise|Female|Pink|1/19/1956
Fields|Virginia|Female|Aquamarine|12/7/1997
Lawson|Nicole|Female|Goldenrod|4/6/1984
Stevens|Jesse|Male|Turquoise|5/6/1971
Freeman|Daniel|Male|Maroon|3/24/1976
Smith|Christopher|Male|Aquamarine|1/5/2002
Rivera|Billy|Male|Crimson|3/19/2002
Reid|Albert|Male|Fuscia|8/14/1972
Torres|Tammy|Female|Aquamarine|9/3/1977
Webb|Robert|Male|Aquamarine|5/31/1975
Kennedy|Johnny|Male|Aquamarine|2/9/1946
Hamilton|Julia|Female|Crimson|5/25/2001
Daniels|Anna|Female|Aquamarine|6/20/1990
Nelson|Roger|Male|Maroon|2/8/1964
Gomez|Virginia|Female|Blue|3/1/1994
Harris|Phillip|Male|Yellow|12/21/1969
Harper|Ann|Female|Khaki|5/19/2003
Mcdonald|Kelly|Female|Fuscia|12/4/1949
Williams|Alan|Male|Fuscia|2/15/1967
Barnes|Frances|Female|Blue|6/9/1947
Phillips|Doris|Female|Teal|10/22/1950
Parker|Kimberly|Female|Orange|2/5/2002
Oliver|Ernest|Male|Red|5/9/1958
Perkins|Helen|Female|Green|4/27/1947
Sullivan|Joe|Male|Crimson|3/12/1971
Patterson|Melissa|Female|Yellow|12/15/1978
Smith|Paul|Male|Violet|11/23/1972
Robertson|Brenda|Female|Violet|7/30/1980
Elliott|John|Male|Crimson|7/21/1972
Hill|Christopher|Male|Teal|11/1/1996
Washington|Marilyn|Female|Violet|6/8/1983
Burke|Henry|Male|Fuscia|8/12/1987
Phillips|Donald|Male|Yellow|4/12/1966
Roberts|Brian|Male|Puce|12/4/1972
Jones|Barbara|Female|Goldenrod|7/1/1989
Armstrong|Sean|Male|Violet|7/28/1967
Allen|Susan|Female|Aquamarine|2/6/1972
Knight|Timothy|Male|Teal|10/4/1982
Edwards|Earl|Male|Red|3/11/1962
Ward|Gregory|Male|Crimson|10/9/1947
Sanders|Maria|Female|Aquamarine|10/23/1963
Reynolds|Alan|Male|Khaki|3/21/1959
Cooper|Earl|Male|Turquoise|5/3/1948
Cole|Christina|Female|Green|5/19/1955
Mitchell|Dennis|Male|Aquamarine|8/12/2003
Parker|Wanda|Female|Blue|3/15/1989
Robertson|Shawn|Male|Mauv|4/21/1950
Pierce|Timothy|Male|Purple|5/21/1972
Kim|Elizabeth|Female|Yellow|1/11/1989
Greene|Louis|Male|Maroon|1/9/1968
Snyder|Mildred|Female|Aquamarine|1/11/1952
Henry|Eric|Male|Mauv|4/17/1995
Franklin|Michael|Male|Teal|10/15/2001
Flores|Ronald|Male|Red|1/19/1987
Gordon|Paul|Male|Orange|5/9/1965
Brown|Roger|Male|Aquamarine|6/22/2002
Cole|Louis|Male|Purple|12/10/1979
Brown|Terry|Male|Red|8/13/1994
Hughes|Thomas|Male|Puce|3/22/2000
Morgan|Stephen|Male|Red|11/22/1975
Hunt|Victor|Male|Crimson|12/14/1997
Burton|Jean|Female|Goldenrod|4/21/1957
Simmons|Bobby|Male|Pink|6/3/1959
Howard|Willie|Male|Mauv|2/14/1957
Powell|Johnny|Male|Crimson|1/19/1977
Wright|Sarah|Female|Yellow|8/24/1992
Gardner|Elizabeth|Female|Fuscia|2/27/1965
Turner|Marilyn|Female|Indigo|10/18/1983
Richardson|Wanda|Female|Mauv|3/26/1981
Harris|Ralph|Male|Fuscia|3/10/1972
Green|Jimmy|Male|Green|3/8/1979
Price|Anthony|Male|Puce|7/13/1948
Ortiz|Carl|Male|Green|2/6/1998
Turner|Rebecca|Female|Violet|5/15/1981
Griffin|Jose|Male|Fuscia|1/17/1992
Bryant|Carolyn|Female|Aquamarine|2/2/2003
Hughes|Edward|Male|Pink|11/29/1957
Brown|Matthew|Male|Green|4/4/1946
Ford|Joan|Female|Green|3/21/1995
Cole|Jason|Male|Purple|7/19/1961
Lee|Brian|Male|Fuscia|6/12/1969
Daniels|Melissa|Female|Orange|10/23/1950
Hawkins|Adam|Male|Mauv|11/20/1946
